category,subcategory,retailer,brand,product_title,review_text
CLEANING,SPRAY CLEANERS ALL PURPOSE CLEANERS,Amazon,Method,Method Cleaner Trigger Plstc Bottle French Lavender All Purpose Rp 28 Oz,Es un producto que no puede faltar en mi limpieza y aquí lo encontré a buen precio .
CLEANING,SPRAY CLEANERS ALL PURPOSE CLEANERS,Walmart,Great Value,"Great Value All-Purpose Cleaners, 20 Fluid Ounce","This is a knock off of ""LA Awesome"" sold at dollar tree but it's not as good as LA."
CLEANING,CONSUMABLE TOOLS SOAP PADS/STEEL WOOL,Walmart,S.O.S.,"S.O.S Steel Wool Soap Pads, Home Cleaning Pads, Reusable Soap Scrubbers, Grease Cleaner, Outdoor, Bathroom or Kitchen Cleaning, 18 Count","Best steel wool pad to keep pots and pans grease free and looking like new, for years. Scrub every pot, even if boiling water."
CLEANING,DRAIN CARE None,Home Depot,Zep,Zep 64Oz Drain Defense Liquid Pipe Build Up Remover,Have been using for over a year and drains seem clear
CLEANING,DILUTABLES NATURAL/CONCENTRATED,Walmart,Great Value,"Great Value Multi-Surface Cleaner with Vinegar - 32oz, Unscented","We like this product because it is safe around animals and great on wood floors. Works great for cleanup, doesn't have a foul odor, and does not leave a residue."
CLEANING,WIPES DISINFECTING WIPES,Amazon,Monk Wipes,"Monk Gym & Fitness Equipment Wipes One Step Cleaner, Disinfectant, Deodorizer & Sanitizer, 4 Refill Packs of 800 Count, Great for Home & Corp Gyms, Yoga Mats, Dance Studios, Spinning Classes & More","When you're talking about sanitizing wipe refills, this is cheap! Top quality. Have used them for years"
CLEANING,FLOOR CLEANERS CONVENIENCE,Amazon,Swiffer,Swiffer Wetjet Cleanser Pad Refill Box Floor 17 Ct - 0037000827291,it is easy to use and do the clean well.
CLEANING,TOILET BOWL CLEANERS MANUAL TB CLEANERS,Sam's Club,Lysol,"Lysol Advanced Toilet Bowl Gel Cleaner (32 fl. oz., 4 pk.)",Does work great
CLEANING,WOOD/FURNITURE/DUST CONVENIENCE WOOD/FURN/DUST,Walmart,Great Value,Great Value Duster Kit,It falls off the handle while using it
CLEANING,BATHROOM CLEANERS MILDEW CLEANERS,Home Depot,Rapid,"32 oz. Rapid Clean Remediation, Trigger Spray Bottle",This was recommended to me and now I recommended it to others. Works like it should and got it done.
CLEANING,SPRAY CLEANERS GLASS + SURFACE CLEANERS,Target,Mrs. Meyer's Clean Day,Mrs. Meyer's Clean Day Lemon Verbena Scented Glass Cleaner - 24 fl oz,Smells awesome. Leaves so many streaks
CLEANING,SPRAY CLEANERS ALL PURPOSE CLEANERS,Amazon,Method,Method Cleaner Trigger Plstc Bottle French Lavender All Purpose Rp 28 Oz,fast delivery and accurate item and value for money
CLEANING,FLOOR CLEANERS CARPET,Target,Bissell,BISSELL 64 oz. CrossWave & SpinWave Multi-Surface Floor Cleaning Formula – 17891,Great scent. Love that it's multi surface.
CLEANING,WIPES DISINFECTING WIPES,Walmart,Clorox,"Clorox Disinfecting Wipes Value Pack, Bleach Free Cleaning Wipes - 35 Count Each (Pack of 4)","Smell is not too strong, doesn't dry out your skin. Great to keep around for wiping around the sink, faucet and toilet"
